Process,Benign,Malware
WebExtensions.csv,0.99999994,3.3829614e-12
matroskademux0:.csv,0.99999994,3.3069032e-08
pool-tracker-ex.csv,0.756405,0.24359505
MediaSu~isor #3.csv,8.272369e-06,0.9999917
StreamTrans #29.csv,0.99999994,8.8529205e-16
StreamTrans #14.csv,0.99999994,8.252819e-09
TaskCon~ller #3.csv,0.99999994,7.477916e-17
IPDL Background.csv,8.272369e-06,0.9999917
alsa-sink-ALC32.csv,0.99999994,9.0831835e-11
MediaPD~oder #3.csv,8.272369e-06,0.9999917
gvfsd-trash.csv,0.99999994,9.056502e-16
Compositor.csv,1.5608442e-06,0.9999984
ibus-portal.csv,0.99999994,9.23338e-09
dav1d-worker.csv,8.272369e-06,0.9999917
gvfs-gphoto2-vo.csv,0.99999994,2.7587594e-09
WRWorker#1.csv,0.99999994,3.7664307e-19
gmain.csv,0.99999994,1.9160288e-12
gvfs-udisks2-vo.csv,0.99999994,9.23338e-09
ibus-daemon.csv,0.9999997,2.0508259e-07
Chrome_ChildIOT.csv,2.864442e-08,0.99999994
gvfs-afc-volume.csv,3.5078236e-05,0.9999649
AudioIP~ver RPC.csv,0.99999994,9.428445e-10
TaskCon~ller #1.csv,0.99999994,1.0593117e-18
gsd-color.csv,0.99999994,1.1903488e-25
Web Content.csv,0.9999977,2.2547158e-06
ibus-engine-sim.csv,0.0003183836,0.9996816
WRWorkerLP#2.csv,0.99999994,8.9506655e-20
systemd.csv,1.578035e-05,0.9999842
git.csv,0.9755502,0.024449768
IndexedDB #22.csv,0.99999994,2.2847247e-20
WRWorkerLP#1.csv,0.99999994,0.0
StyleThread#1.csv,0.9986364,0.0013635032
WRWorker#2.csv,0.99999994,1.7347545e-21
VizCompositorTh.csv,1.3494603e-05,0.99998647
MediaSu~isor #4.csv,8.272369e-06,0.9999917
tracker-miner-f.csv,0.99999994,7.989039e-17
pipewire.csv,0.99999994,7.8073716e-16
MediaSu~isor #2.csv,8.272369e-06,0.9999917
pipewire-main-l.csv,0.99999994,3.4839078e-13
Monitor thread.csv,0.99999994,2.1293013e-31
queue1:src.csv,0.99999994,1.2856593e-12
gnome-shell.csv,0.99999994,3.4564225e-23
discoverer-queu.csv,0.99999994,2.3601496e-10
StreamTrans #15.csv,0.38547912,0.61452085
Chrome_IOThread.csv,0.99999994,1.6216624e-15
BgIOThr~Pool #1.csv,0.99999994,1.6630817e-12
gjs.csv,5.042886e-27,0.99999994
Renderer.csv,8.549705e-30,0.99999994
glean.dispatche.csv,9.248104e-30,0.99999994
code.csv,0.99999994,1.2488069e-08
MediaTimer #1.csv,8.272369e-06,0.9999917
RemoteLzyStream.csv,0.0018415799,0.99815834
Isolated Web Co.csv,0.00031301068,0.99968696
WRScene~derLP#1.csv,2.9218158e-21,0.99999994
[pango] FcInit.csv,0.0,0.99999994
pool-org.gnome..csv,1.85397e-06,0.99999803
WRScene~ilder#1.csv,0.0,0.99999994
(xtract-3).csv,0.99999994,2.1026897e-30
pool-gnome-sess.csv,0.99999994,1.7320031e-14
xdg-desktop-por.csv,0.99999994,3.471515e-14
pool-gnome-shel.csv,0.99999994,4.3102243e-13
WRWorker#0.csv,0.99999994,5.37019e-28
nautilus.csv,7.8663086e-20,0.99999994
GpuWatchdog.csv,0.99999994,5.5589298e-09
ImageIO.csv,0.98772717,0.012272854
pool-tracker-mi.csv,2.8774625e-20,0.99999994
Socket Process.csv,0.99999994,3.3829614e-12
pulseaudio.csv,0.99999994,9.0831835e-11
DOMCacheThread.csv,0.99999994,2.3354694e-23
WRWorkerLP#3.csv,0.99999994,1.11644594e-13
DNS Resolver #3.csv,0.99999994,5.2190593e-22
MediaPD~oder #4.csv,8.272369e-06,0.9999917
pool.csv,0.99999994,1.3949992e-14
DNS Resolver #1.csv,0.9999847,1.52398525e-05
typefind:sink.csv,0.52578104,0.47421896
RemVidChild.csv,8.272369e-06,0.9999917
MemoryPoller.csv,0.99999994,1.0852674e-20
MediaDe~hine #1.csv,8.272369e-06,0.9999917
WRWorker#3.csv,0.99999994,3.3342974e-22
MediaSu~isor #1.csv,8.272369e-06,0.9999917
ThreadPoolSingl.csv,0.99999994,1.2866408e-08
pool-gjs.csv,0.99999994,1.0843791e-10
MediaPD~oder #1.csv,8.272369e-06,0.9999917
TaskCon~ller #2.csv,0.99999994,1.7047693e-08
DOM Worker.csv,0.99999994,4.490196e-14
dconf worker.csv,0.99652344,0.0034765734
MediaPD~oder #2.csv,8.272369e-06,0.9999917
