time	kind	cpu0	cpu1	cpu2	cpu3	cpu_average
1	baselline	0	0	0	0	0
2	baselline	3	1	0.99	0	1.25
3	baselline	0	0	0	0	0
4	baselline	0	1.98	0	0	0.5
5	baselline	0	0	0	0	0
6	baselline	0	0	1.01	0	0.26
7	baselline	0	0	0	0	0
8	baselline	0	0	0	0	0
9	baselline	0	0	0	0	0
10	baselline	0	0	0	0	0
11	baselline	0	0	2	0	0.5
12	baselline	4.04	1	6.93	1	3.25
13	baselline	0	1	0	0	0.25
14	baselline	0	0	0	0	0
15	baselline	0	0	0	0	0
16	baselline	0	0	0.99	0	0.25
17	baselline	0	0	0	0	0
18	baselline	1.01	0	0	1	0.51
19	baselline	0.99	0	0	0	0.25
20	baselline	1	1	1	0	0.75
21	baselline	0	0	0	0	0
22	baselline	0	0	0	0	0
23	baselline	1	0	0	0	0.25
24	baselline	1	0	0	0	0.25
25	baselline	0	0	0	0	0
26	baselline	0	0	0	0	0
27	baselline	0	1	0	0.99	0.5
28	baselline	0	4	0	0.99	1.25
29	baselline	0	0	0	0	0
30	baselline	0	0.99	0	0	0.25
1	bpf	1.98	0	0	0.99	0.75
2	bpf	1	0	0.99	0	0.5
3	bpf	1	0	0	0	0.25
4	bpf	1	0	1	0	0.5
5	bpf	1	1	0	0	0.5
6	bpf	2	0	0	0	0.5
7	bpf	1.98	0	0	0	0.5
8	bpf	1	0.99	0	0	0.5
9	bpf	0	0	1	0	0.25
10	bpf	0	1.02	1	0	0.5
11	bpf	0	1.98	0	1	0.75
12	bpf	1	0	0	0	0.25
13	bpf	0	0	1	0	0.25
14	bpf	0	1	0	0	0.25
15	bpf	0	1.01	0	0	0.25
16	bpf	0.99	0	1	0	0.5
17	bpf	0.99	1.98	0	1	1
18	bpf	0	2	0	0	0.5
19	bpf	1	0.99	0	0	0.5
20	bpf	1.98	1.01	0	1	1
21	bpf	0	0	0	0	0
22	bpf	1	0	0	0	0.25
23	bpf	0	0	0.99	0	0.25
24	bpf	1.98	0	0	0	0.5
25	bpf	0	1.01	0	0	0.26
26	bpf	1	0	0	1	0.5
27	bpf	0.99	0	0	0	0.25
28	bpf	4.95	0	0.99	1	1.74
29	bpf	1	1	0	0	0.5
30	bpf	0	1	0	0	0.25
