Time,cpu usage
21시 23분 40초,99.75
21시 23분 41초,98.75
21시 23분 42초,100.0
21시 23분 43초,99.75
21시 23분 44초,99.75
21시 23분 45초,99.75
21시 23분 46초,99.75
21시 23분 47초,99.5
21시 23분 48초,100.0
21시 23분 49초,98.26
21시 23분 50초,100.0
21시 23분 51초,100.0
21시 23분 52초,99.5
21시 23분 53초,99.5
21시 23분 54초,100.0
21시 23분 55초,99.75
21시 23분 56초,99.75
21시 23분 57초,99.75
21시 23분 58초,100.0
21시 23분 59초,99.5
21시 24분 00초,99.75
21시 24분 01초,99.75
21시 24분 02초,99.75
21시 24분 03초,100.0
21시 24분 04초,99.5
21시 24분 05초,99.75
21시 24분 06초,100.0
21시 24분 07초,99.75
21시 24분 08초,99.75
21시 24분 09초,99.0
21시 24분 10초,99.5
21시 24분 11초,99.5
21시 24분 12초,100.0
21시 24분 13초,97.24
21시 24분 14초,99.25
21시 24분 15초,100.0
21시 24분 16초,96.23
21시 24분 17초,99.75
21시 24분 18초,100.0
21시 24분 19초,98.5
21시 24분 20초,98.0
21시 24분 21초,98.5
21시 24분 22초,99.5
21시 24분 23초,99.5
21시 24분 24초,99.75
21시 24분 25초,99.0
21시 24분 26초,99.75
21시 24분 27초,99.5
21시 24분 28초,99.75
21시 24분 29초,99.75
21시 24분 30초,99.5
21시 24분 31초,100.0
21시 24분 32초,100.0
21시 24분 33초,100.0
21시 24분 34초,99.5
21시 24분 35초,99.75
21시 24분 36초,100.0
21시 24분 37초,100.0
21시 24분 38초,100.0
21시 24분 39초,99.75
21시 22분 34초,99.5
21시 22분 35초,98.99
21시 22분 36초,99.5
21시 22분 37초,100.0
21시 22분 38초,99.75
21시 22분 39초,97.51
21시 22분 40초,99.25
21시 22분 41초,99.25
21시 22분 42초,100.0
21시 22분 43초,99.75
21시 22분 44초,99.75
21시 22분 45초,98.75
21시 22분 46초,99.25
21시 22분 47초,100.0
21시 22분 48초,100.0
21시 22분 49초,98.51
21시 22분 50초,99.75
21시 22분 51초,99.75
21시 22분 52초,99.75
21시 22분 53초,99.75
21시 22분 54초,100.0
21시 22분 55초,99.25
21시 22분 56초,99.75
21시 22분 57초,99.75
21시 22분 58초,100.0
21시 22분 59초,99.5
21시 23분 00초,99.0
21시 23분 01초,99.75
21시 23분 02초,100.0
21시 23분 03초,100.0
21시 23분 04초,99.75
21시 23분 05초,99.0
21시 23분 06초,99.75
21시 23분 07초,99.5
21시 23분 08초,100.0
21시 23분 09초,99.75
21시 23분 10초,98.75
21시 23분 11초,99.75
21시 23분 12초,100.0
21시 23분 13초,99.5
21시 23분 14초,99.75
21시 23분 15초,99.25
21시 23분 16초,100.0
21시 23분 17초,99.75
21시 23분 18초,100.0
21시 23분 19초,99.25
21시 23분 20초,99.25
21시 23분 21초,99.75
21시 23분 22초,99.25
21시 23분 23초,100.0
21시 23분 24초,99.75
21시 23분 25초,99.75
21시 23분 26초,100.0
21시 23분 27초,100.0
21시 23분 28초,100.0
21시 23분 29초,100.0
