Time,CPU Usage
12시 47분 41초,0.75
12시 47분 42초,4.790000000000006
12시 47분 43초,6.280000000000001
12시 47분 44초,0.5
12시 47분 45초,0.25
12시 47분 46초,0.25
12시 47분 47초,0.0
12시 47분 48초,0.5
12시 47분 49초,0.0
12시 47분 50초,0.0
12시 47분 51초,2.510000000000005
12시 47분 52초,0.25
12시 47분 53초,0.0
12시 47분 54초,0.25
12시 47분 55초,0.0
12시 47분 56초,0.5
12시 47분 57초,0.0
12시 47분 58초,0.5
12시 47분 59초,0.25
12시 48분 00초,0.75
12시 48분 01초,0.5
12시 48분 02초,0.5
12시 48분 03초,0.0
12시 48분 04초,0.75
12시 48분 05초,0.0
12시 48분 06초,0.25
12시 48분 07초,0.75
12시 48분 08초,1.0
12시 48분 09초,0.5
12시 48분 10초,0.7600000000000051
12시 48분 11초,0.5
12시 48분 12초,0.25
12시 48분 13초,0.5
12시 48분 14초,0.25
12시 48분 15초,0.25
12시 48분 16초,1.9899999999999949
12시 48분 17초,0.25
12시 48분 18초,0.25
12시 48분 19초,0.0
12시 48분 20초,0.25
12시 48분 21초,0.5100000000000051
12시 48분 22초,0.0
12시 48분 23초,0.0
12시 48분 24초,0.25
12시 48분 25초,0.0
12시 48분 26초,37.69
12시 48분 27초,25.310000000000002
12시 48분 28초,25.25
12시 48분 29초,27.25
12시 48분 30초,7.069999999999993
12시 48분 31초,0.5
12시 48분 32초,0.0
12시 48분 33초,0.25
12시 48분 34초,0.0
12시 48분 35초,0.5
12시 48분 36초,0.25
12시 48분 37초,0.0
12시 48분 38초,0.0
12시 48분 39초,0.25
12시 48분 40초,0.0
12시 48분 51초,1.2600000000000051
12시 48분 52초,6.799999999999997
12시 48분 53초,1.7600000000000051
12시 48분 54초,0.25
12시 48분 55초,0.0
12시 48분 56초,0.5
12시 48분 57초,2.510000000000005
12시 48분 58초,0.25
12시 48분 59초,0.0
12시 49분 00초,0.75
12시 49분 01초,3.019999999999996
12시 49분 02초,0.5
12시 49분 03초,0.75
12시 49분 04초,0.75
12시 49분 05초,0.0
12시 49분 06초,0.5
12시 49분 07초,0.0
12시 49분 08초,0.5
12시 49분 09초,0.5
12시 49분 10초,0.25
12시 49분 11초,1.25
12시 49분 12초,0.0
12시 49분 13초,0.75
12시 49분 14초,1.0100000000000051
12시 49분 15초,0.25
12시 49분 16초,0.0
12시 49분 17초,0.0
12시 49분 18초,1.0
12시 49분 19초,0.0
12시 49분 20초,0.5
12시 49분 21초,0.5
12시 49분 22초,0.5
12시 49분 23초,0.0
12시 49분 24초,1.0100000000000051
12시 49분 25초,0.5
12시 49분 26초,0.25
12시 49분 27초,0.25
12시 49분 28초,0.25
12시 49분 29초,0.25
12시 49분 30초,1.0100000000000051
12시 49분 31초,0.0
12시 49분 32초,0.0
12시 49분 33초,0.5
12시 49분 34초,0.25
12시 49분 35초,0.25
12시 49분 36초,38.19
12시 49분 37초,25.75
12시 49분 38초,25.0
12시 49분 39초,28.0
12시 49분 40초,6.780000000000001
12시 49분 41초,0.25
12시 49분 42초,0.25
12시 49분 43초,0.25
12시 49분 44초,0.25
12시 49분 45초,1.0
12시 49분 46초,0.0
12시 49분 47초,0.25
12시 49분 48초,0.0
12시 49분 49초,0.5
12시 49분 50초,0.75
12시 50분 02초,0.25
12시 50분 03초,0.0
12시 50분 04초,0.0
12시 50분 05초,0.25
12시 50분 06초,0.25
12시 50분 07초,0.75
12시 50분 08초,0.25
12시 50분 09초,0.75
12시 50분 10초,0.0
12시 50분 11초,1.0
12시 50분 12초,7.519999999999996
12시 50분 13초,3.7900000000000063
12시 50분 14초,0.25
12시 50분 15초,0.5
12시 50분 16초,0.25
12시 50분 17초,0.5
12시 50분 18초,0.75
12시 50분 19초,0.25
12시 50분 20초,0.75
12시 50분 21초,1.25
12시 50분 22초,0.5
12시 50분 23초,0.75
12시 50분 24초,0.5
12시 50분 25초,0.0
12시 50분 26초,0.0
12시 50분 27초,0.25
12시 50분 28초,0.0
12시 50분 29초,0.0
12시 50분 30초,0.25
12시 50분 31초,0.0
12시 50분 32초,0.5
12시 50분 33초,0.5
12시 50분 34초,0.0
12시 50분 35초,0.25
12시 50분 36초,0.5
12시 50분 37초,0.25
12시 50분 38초,0.0
12시 50분 39초,0.75
12시 50분 40초,0.0
12시 50분 41초,0.25
12시 50분 42초,0.5100000000000051
12시 50분 43초,0.0
12시 50분 44초,0.25
12시 50분 45초,0.0
12시 50분 46초,0.0
12시 50분 47초,0.7600000000000051
12시 50분 48초,32.75
12시 50분 49초,25.75
12시 50분 50초,25.810000000000002
12시 50분 51초,27.25
12시 50분 52초,11.030000000000001
12시 50분 53초,0.25
12시 50분 54초,0.25
12시 50분 55초,0.25
12시 50분 56초,0.25
12시 50분 57초,0.5
12시 50분 58초,0.0
12시 50분 59초,0.0
12시 51분 00초,1.75
12시 51분 01초,0.5
12시 42분 16초,0.25
12시 42분 17초,0.5
12시 42분 18초,9.799999999999997
12시 42분 19초,0.5
12시 42분 20초,0.25
12시 42분 21초,0.25
12시 42분 22초,0.25
12시 42분 23초,0.25
12시 42분 24초,1.0
12시 42분 25초,0.0
12시 42분 26초,3.25
12시 42분 27초,0.0
12시 42분 28초,0.75
12시 42분 29초,0.25
12시 42분 30초,0.0
12시 42분 31초,0.5
12시 42분 32초,0.0
12시 42분 33초,0.25
12시 42분 34초,0.5
12시 42분 35초,0.75
12시 42분 36초,0.5
12시 42분 37초,0.5
12시 42분 38초,0.5
12시 42분 39초,0.25
12시 42분 40초,0.5
12시 42분 41초,0.5
12시 42분 42초,0.0
12시 42분 43초,0.5
12시 42분 44초,0.0
12시 42분 45초,0.25
12시 42분 46초,0.75
12시 42분 47초,0.5
12시 42분 48초,0.0
12시 42분 49초,0.0
12시 42분 50초,0.0
12시 42분 51초,0.25
12시 42분 52초,0.5
