Time,CPU Usage
13시 53분 56초,100.0
13시 53분 57초,100.0
13시 53분 58초,100.0
13시 53분 59초,100.0
13시 54분 00초,100.0
13시 54분 01초,100.0
13시 54분 02초,100.0
13시 54분 03초,100.0
13시 54분 04초,100.0
13시 54분 05초,100.0
13시 54분 06초,100.0
13시 54분 07초,100.0
13시 54분 08초,100.0
13시 54분 09초,100.0
13시 54분 10초,100.0
13시 54분 11초,100.0
13시 54분 12초,100.0
13시 54분 13초,100.0
13시 54분 14초,100.0
13시 54분 15초,100.0
13시 54분 16초,100.0
13시 54분 17초,100.0
13시 54분 18초,100.0
13시 54분 19초,100.0
13시 54분 20초,100.0
13시 54분 21초,100.0
13시 54분 22초,100.0
13시 54분 23초,100.0
13시 54분 24초,100.0
13시 54분 25초,100.0
13시 54분 26초,100.0
13시 54분 27초,100.0
13시 54분 28초,100.0
13시 54분 29초,100.0
13시 54분 30초,100.0
13시 54분 31초,100.0
13시 54분 32초,100.0
13시 54분 33초,100.0
13시 54분 34초,100.0
13시 54분 35초,100.0
13시 54분 36초,100.0
13시 54분 37초,100.0
13시 54분 38초,100.0
13시 54분 39초,100.0
13시 54분 40초,100.0
13시 54분 41초,100.0
13시 54분 42초,100.0
13시 54분 43초,100.0
13시 54분 44초,100.0
13시 54분 45초,100.0
13시 54분 46초,100.0
13시 54분 47초,100.0
13시 54분 48초,100.0
13시 54분 49초,100.0
13시 54분 50초,100.0
13시 54분 51초,100.0
13시 54분 52초,100.0
13시 54분 53초,100.0
13시 54분 54초,100.0
13시 54분 55초,100.0
13시 54분 56초,100.0
13시 54분 57초,100.0
13시 54분 58초,100.0
13시 54분 59초,100.0
13시 55분 00초,100.0
13시 55분 01초,100.0
13시 55분 02초,49.75
13시 55분 03초,1.75
13시 55분 04초,3.7900000000000063
13시 55분 05초,9.0
13시 55분 06초,9.799999999999997
13시 55분 07초,3.5400000000000063
13시 55분 08초,4.040000000000006
13시 55분 09초,3.530000000000001
13시 55분 10초,3.519999999999996
13시 55분 11초,2.260000000000005
13시 55분 12초,3.010000000000005
13시 55분 13초,7.769999999999996
13시 55분 14초,8.040000000000006
13시 55분 15초,16.959999999999994
13시 55분 16초,16.290000000000006
13시 55분 17초,12.0
13시 55분 18초,7.290000000000006
13시 55분 19초,9.0
13시 55분 20초,10.780000000000001
13시 55분 21초,9.549999999999997
13시 55분 22초,8.790000000000006
13시 55분 23초,4.989999999999995
13시 55분 24초,7.75
13시 55분 25초,23.439999999999998
