Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

08:29:31     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:29:32     all   18.18    0.00   26.66    0.16    0.00    7.17    0.00    0.00    0.00   47.84
08:29:32       0   18.95    0.00   27.37    0.00    0.00    8.42    0.00    0.00    0.00   45.26
08:29:32       1   16.49    0.00   36.08    0.00    0.00   10.31    0.00    0.00    0.00   37.11
08:29:32       2   21.74    0.00   36.96    0.00    0.00    7.61    0.00    0.00    0.00   33.70
08:29:32       3   17.58    0.00   25.27    0.00    0.00   10.99    0.00    0.00    0.00   46.15
08:29:32       4   17.39    0.00   33.70    0.00    0.00   10.87    0.00    0.00    0.00   38.04
08:29:32       5   21.74    0.00   21.74    0.00    0.00    4.35    0.00    0.00    0.00   52.17
08:29:32       6   22.45    0.00   25.51    0.00    0.00    6.12    0.00    0.00    0.00   45.92
08:29:32       7   20.65    0.00   19.57    0.00    0.00   10.87    0.00    0.00    0.00   48.91
08:29:32       8   18.48    0.00   26.09    0.00    0.00    6.52    0.00    0.00    0.00   48.91
08:29:32       9   17.39    0.00   26.09    0.00    0.00    8.70    0.00    0.00    0.00   47.83
08:29:32      10   19.23    0.00   23.08    1.92    0.00    3.85    0.00    0.00    0.00   51.92
08:29:32      11    9.78    0.00   26.09    0.00    0.00    4.35    0.00    0.00    0.00   59.78
08:29:32      12   12.63    0.00   21.05    0.00    0.00    7.37    0.00    0.00    0.00   58.95
08:29:32      13   16.30    0.00   18.48    0.00    0.00    5.43    0.00    0.00    0.00   59.78
08:29:32      14   15.62    0.00   23.96    1.04    0.00    4.17    0.00    0.00    0.00   55.21
08:29:32      15   20.41    0.00   35.71    0.00    0.00   14.29    0.00    0.00    0.00   29.59
08:29:32      16   18.56    0.00   27.84    0.00    0.00    6.19    0.00    0.00    0.00   47.42
08:29:32      17   18.37    0.00   25.51    0.00    0.00    5.10    0.00    0.00    0.00   51.02
08:29:32      18   16.49    0.00   23.71    0.00    0.00    5.15    0.00    0.00    0.00   54.64
08:29:32      19   22.92    0.00   29.17    0.00    0.00    3.12    0.00    0.00    0.00   44.79

08:29:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:29:33     all   18.65    0.00   29.03    0.16    0.00    6.53    0.00    0.00    0.00   45.63
08:29:33       0   17.71    0.00   36.46    0.00    0.00   12.50    0.00    0.00    0.00   33.33
08:29:33       1   16.30    0.00   40.22    0.00    0.00    8.70    0.00    0.00    0.00   34.78
08:29:33       2   21.65    0.00   30.93    0.00    0.00    9.28    0.00    0.00    0.00   38.14
08:29:33       3   19.15    0.00   30.85    0.00    0.00    9.57    0.00    0.00    0.00   40.43
08:29:33       4   22.34    0.00   36.17    0.00    0.00   13.83    0.00    0.00    0.00   27.66
08:29:33       5   11.34    0.00   37.11    0.00    0.00   14.43    0.00    0.00    0.00   37.11
08:29:33       6   25.26    0.00   32.63    0.00    0.00    6.32    0.00    0.00    0.00   35.79
08:29:33       7   19.35    0.00   33.33    0.00    0.00    8.60    0.00    0.00    0.00   38.71
08:29:33       8   19.35    0.00   31.18    0.00    0.00   13.98    0.00    0.00    0.00   35.48
08:29:33       9   19.80    0.00   35.64    0.00    0.00    8.91    0.00    0.00    0.00   35.64
08:29:33      10   21.05    0.00   20.00    0.00    0.00    2.11    0.00    0.00    0.00   56.84
08:29:33      11   17.35    0.00   24.49    1.02    0.00    5.10    0.00    0.00    0.00   52.04
08:29:33      12   14.89    0.00   26.60    0.00    0.00    3.19    0.00    0.00    0.00   55.32
08:29:33      13   15.22    0.00   22.83    2.17    0.00    3.26    0.00    0.00    0.00   56.52
08:29:33      14   13.33    0.00   24.44    0.00    0.00    4.44    0.00    0.00    0.00   57.78
08:29:33      15   12.90    0.00   19.35    0.00    0.00    3.23    0.00    0.00    0.00   64.52
08:29:33      16   17.35    0.00   24.49    0.00    0.00    1.02    0.00    0.00    0.00   57.14
08:29:33      17   24.49    0.00   27.55    0.00    0.00    1.02    0.00    0.00    0.00   46.94
08:29:33      18   23.40    0.00   28.72    0.00    0.00    0.00    0.00    0.00    0.00   47.87
08:29:33      19   20.21    0.00   17.02    0.00    0.00    1.06    0.00    0.00    0.00   61.70

08:29:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:29:34     all   18.82    0.00   29.50    0.32    0.00    7.20    0.00    0.00    0.00   44.16
08:29:34       0   14.85    0.00   38.61    0.00    0.00   13.86    0.00    0.00    0.00   32.67
08:29:34       1   22.22    0.00   38.38    0.00    0.00   13.13    0.00    0.00    0.00   26.26
08:29:34       2   22.68    0.00   35.05    0.00    0.00   11.34    0.00    0.00    0.00   30.93
08:29:34       3   21.65    0.00   40.21    0.00    0.00   15.46    0.00    0.00    0.00   22.68
08:29:34       4   20.83    0.00   44.79    0.00    0.00   14.58    0.00    0.00    0.00   19.79
08:29:34       5   20.65    0.00   25.00    0.00    0.00    8.70    0.00    0.00    0.00   45.65
08:29:34       6   18.68    0.00   29.67    0.00    0.00    8.79    0.00    0.00    0.00   42.86
08:29:34       7   14.29    0.00   28.57    0.00    0.00   10.99    0.00    0.00    0.00   46.15
08:29:34       8   20.21    0.00   27.66    0.00    0.00    5.32    0.00    0.00    0.00   46.81
08:29:34       9   16.00    0.00   32.00    0.00    0.00   10.00    0.00    0.00    0.00   42.00
08:29:34      10   15.62    0.00   27.08    0.00    0.00    4.17    0.00    0.00    0.00   53.12
08:29:34      11   16.84    0.00   24.21    0.00    0.00    6.32    0.00    0.00    0.00   52.63
08:29:34      12   11.63    0.00   24.42    1.16    0.00    4.65    0.00    0.00    0.00   58.14
08:29:34      13   16.67    0.00   28.43    4.90    0.00    5.88    0.00    0.00    0.00   44.12
08:29:34      14   15.22    0.00   29.35    0.00    0.00    4.35    0.00    0.00    0.00   51.09
08:29:34      15   20.43    0.00   16.13    0.00    0.00    2.15    0.00    0.00    0.00   61.29
08:29:34      16   18.95    0.00   20.00    0.00    0.00    1.05    0.00    0.00    0.00   60.00
08:29:34      17   26.53    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   47.96
08:29:34      18   23.96    0.00   32.29    0.00    0.00    1.04    0.00    0.00    0.00   42.71
08:29:34      19   17.58    0.00   19.78    0.00    0.00    1.10    0.00    0.00    0.00   61.54

08:29:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:29:35     all   15.40    0.00   26.77    0.00    0.00    6.37    0.00    0.00    0.00   51.46
08:29:35       0   13.68    0.00   31.58    0.00    0.00    8.42    0.00    0.00    0.00   46.32
08:29:35       1   21.90    0.00   34.29    0.00    0.00    9.52    0.00    0.00    0.00   34.29
08:29:35       2   20.21    0.00   34.04    0.00    0.00    8.51    0.00    0.00    0.00   37.23
08:29:35       3   10.10    0.00   54.55    0.00    0.00   30.30    0.00    0.00    0.00    5.05
08:29:35       4   16.83    0.00   30.69    0.00    0.00   10.89    0.00    0.00    0.00   41.58
08:29:35       5   17.53    0.00   23.71    0.00    0.00    4.12    0.00    0.00    0.00   54.64
08:29:35       6   13.86    0.00   25.74    0.00    0.00    6.93    0.00    0.00    0.00   53.47
08:29:35       7   13.48    0.00   21.35    0.00    0.00    3.37    0.00    0.00    0.00   61.80
08:29:35       8   15.38    0.00   20.88    0.00    0.00    4.40    0.00    0.00    0.00   59.34
08:29:35       9   13.19    0.00   24.18    0.00    0.00    3.30    0.00    0.00    0.00   59.34
