Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

09:15:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:44     all    7.37    0.00   12.98   21.02    0.00    4.43    0.00    0.00    0.00   54.20
09:15:44       0   18.00    0.00   49.00    4.00    0.00   14.00    0.00    0.00    0.00   15.00
09:15:44       1   11.11    0.00   21.21   38.38    0.00    7.07    0.00    0.00    0.00   22.22
09:15:44       2    5.05    0.00    3.03   49.49    0.00    4.04    0.00    0.00    0.00   38.38
09:15:44       3    5.00    0.00    7.00   53.00    0.00    1.00    0.00    0.00    0.00   34.00
09:15:44       4    5.43    0.00    6.52   44.57    0.00    1.09    0.00    0.00    0.00   42.39
09:15:44       5   10.10    0.00   13.13    0.00    0.00    4.04    0.00    0.00    0.00   72.73
09:15:44       6    4.08    0.00    9.18    9.18    0.00    3.06    0.00    0.00    0.00   74.49
09:15:44       7    7.37    0.00   14.74    5.26    0.00    5.26    0.00    0.00    0.00   67.37
09:15:44       8    7.22    0.00   13.40    0.00    0.00    3.09    0.00    0.00    0.00   76.29
09:15:44       9   10.42    0.00   14.58    6.25    0.00    2.08    0.00    0.00    0.00   66.67
09:15:44      10    4.08    0.00    7.14   52.04    0.00    2.04    0.00    0.00    0.00   34.69
09:15:44      11    9.28    0.00   15.46   30.93    0.00   11.34    0.00    0.00    0.00   32.99
09:15:44      12    5.05    0.00    2.02   27.27    0.00    1.01    0.00    0.00    0.00   64.65
09:15:44      13    4.12    0.00    3.09   31.96    0.00    1.03    0.00    0.00    0.00   59.79
09:15:44      14    5.05    0.00    5.05   62.63    0.00    3.03    0.00    0.00    0.00   24.24
09:15:44      15    6.25    0.00   16.67    0.00    0.00    4.17    0.00    0.00    0.00   72.92
09:15:44      16    4.35    0.00   10.87    2.17    0.00    3.26    0.00    0.00    0.00   79.35
09:15:44      17    5.26    0.00   11.58    0.00    0.00    3.16    0.00    0.00    0.00   80.00
09:15:44      18   13.68    0.00   25.26    0.00    0.00   10.53    0.00    0.00    0.00   50.53
09:15:44      19    6.12    0.00   10.20    0.00    0.00    4.08    0.00    0.00    0.00   79.59

09:15:44     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:45     all    7.95    0.00   13.05   18.91    0.00    4.18    0.00    0.00    0.00   55.91
