Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

08:59:35     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:36     all   15.46    0.00   25.87    0.16    0.00    7.52    0.00    0.00    0.00   51.00
08:59:36       0   13.68    0.00   24.21    0.00    0.00   13.68    0.00    0.00    0.00   48.42
08:59:36       1   15.46    0.00   26.80    0.00    0.00    9.28    0.00    0.00    0.00   48.45
08:59:36       2   15.46    0.00   26.80    0.00    0.00    9.28    0.00    0.00    0.00   48.45
08:59:36       3   14.14    0.00   27.27    0.00    0.00   11.11    0.00    0.00    0.00   47.47
08:59:36       4   10.42    0.00   27.08    0.00    0.00   13.54    0.00    0.00    0.00   48.96
08:59:36       5   17.71    0.00   34.38    0.00    0.00   10.42    0.00    0.00    0.00   37.50
08:59:36       6   19.15    0.00   32.98    0.00    0.00   10.64    0.00    0.00    0.00   37.23
08:59:36       7   20.62    0.00   30.93    0.00    0.00    9.28    0.00    0.00    0.00   39.18
08:59:36       8   25.25    0.00   31.31    0.00    0.00    7.07    0.00    0.00    0.00   36.36
08:59:36       9   17.20    0.00   33.33    0.00    0.00   12.90    0.00    0.00    0.00   36.56
08:59:36      10   15.31    0.00   20.41    2.04    0.00    0.00    0.00    0.00    0.00   62.24
08:59:36      11   17.24    0.00   17.24    0.00    0.00    0.00    0.00    0.00    0.00   65.52
08:59:36      12   15.79    0.00   24.21    0.00    0.00    0.00    0.00    0.00    0.00   60.00
08:59:36      13   16.84    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   60.00
08:59:36      14   18.89    0.00   25.56    0.00    0.00    2.22    0.00    0.00    0.00   53.33
08:59:36      15    7.78    0.00   12.22    0.00    0.00    2.22    0.00    0.00    0.00   77.78
08:59:36      16   13.00    0.00   18.00    1.00    0.00    1.00    0.00    0.00    0.00   67.00
08:59:36      17    8.51    0.00   29.79    0.00    0.00   14.89    0.00    0.00    0.00   46.81
08:59:36      18   11.83    0.00   12.90    0.00    0.00    0.00    0.00    0.00    0.00   75.27
08:59:36      19   14.43    0.00   37.11    0.00    0.00   21.65    0.00    0.00    0.00   26.80

08:59:36     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:37     all   16.75    0.00   24.58    0.00    0.00    9.45    0.00    0.00    0.00   49.22
08:59:37       0   15.28    0.00   22.22    0.00    0.00    6.94    0.00    0.00    0.00   55.56
08:59:37       1   17.81    0.00   21.92    0.00    0.00    4.11    0.00    0.00    0.00   56.16
08:59:37       2   16.67    0.00   29.49    0.00    0.00    5.13    0.00    0.00    0.00   48.72
08:59:37       3   16.00    0.00   25.33    0.00    0.00    6.67    0.00    0.00    0.00   52.00
08:59:37       4   12.33    0.00   27.40    0.00    0.00    8.22    0.00    0.00    0.00   52.05
08:59:37       5   21.95    0.00   31.71    0.00    0.00   10.98    0.00    0.00    0.00   35.37
08:59:37       6   18.07    0.00   32.53    0.00    0.00   18.07    0.00    0.00    0.00   31.33
08:59:37       7   17.86    0.00   27.38    0.00    0.00   21.43    0.00    0.00    0.00   33.33
08:59:37       8   18.75    0.00   26.25    0.00    0.00   17.50    0.00    0.00    0.00   37.50
08:59:37       9   20.83    0.00   31.94    0.00    0.00    6.94    0.00    0.00    0.00   40.28
08:59:37      10   15.94    0.00   20.29    0.00    0.00    0.00    0.00    0.00    0.00   63.77
08:59:37      11   23.08    0.00   17.95    0.00    0.00    0.00    0.00    0.00    0.00   58.97
08:59:37      12   25.00    0.00   18.75    0.00    0.00    0.00    0.00    0.00    0.00   56.25
08:59:37      13   19.18    0.00   16.44    0.00    0.00    0.00    0.00    0.00    0.00   64.38
08:59:37      14   19.72    0.00   26.76    0.00    0.00    1.41    0.00    0.00    0.00   52.11
08:59:37      15    9.86    0.00   22.54    0.00    0.00    7.04    0.00    0.00    0.00   60.56
08:59:37      16    9.46    0.00   16.22    0.00    0.00    4.05    0.00    0.00    0.00   70.27
08:59:37      17    9.18    0.00   33.67    0.00    0.00   42.86    0.00    0.00    0.00   14.29
08:59:37      18   12.33    0.00   19.18    0.00    0.00    2.74    0.00    0.00    0.00   65.75
08:59:37      19   16.00    0.00   18.67    0.00    0.00   10.67    0.00    0.00    0.00   54.67

08:59:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:38     all   16.33    0.00   25.63    0.16    0.00    7.77    0.00    0.00    0.00   50.11
08:59:38       0   21.98    0.00   30.77    1.10    0.00   16.48    0.00    0.00    0.00   29.67
08:59:38       1   17.53    0.00   30.93    0.00    0.00   12.37    0.00    0.00    0.00   39.18
08:59:38       2   20.20    0.00   45.45    1.01    0.00   24.24    0.00    0.00    0.00    9.09
08:59:38       3   21.43    0.00   33.67    0.00    0.00   10.20    0.00    0.00    0.00   34.69
08:59:38       4   25.74    0.00   28.71    0.99    0.00   14.85    0.00    0.00    0.00   29.70
08:59:38       5   17.17    0.00   33.33    0.00    0.00   10.10    0.00    0.00    0.00   39.39
08:59:38       6   21.65    0.00   29.90    0.00    0.00   11.34    0.00    0.00    0.00   37.11
08:59:38       7   23.66    0.00   23.66    0.00    0.00   13.98    0.00    0.00    0.00   38.71
08:59:38       8   13.04    0.00   32.61    0.00    0.00    9.78    0.00    0.00    0.00   44.57
08:59:38       9   20.00    0.00   28.42    0.00    0.00    9.47    0.00    0.00    0.00   42.11
08:59:38      10   19.39    0.00   24.49    0.00    0.00    1.02    0.00    0.00    0.00   55.10
08:59:38      11   16.67    0.00   19.79    0.00    0.00    2.08    0.00    0.00    0.00   61.46
08:59:38      12   13.19    0.00   19.78    0.00    0.00    1.10    0.00    0.00    0.00   65.93
08:59:38      13   15.38    0.00   21.98    0.00    0.00    0.00    0.00    0.00    0.00   62.64
08:59:38      14   14.77    0.00   17.05    0.00    0.00    2.27    0.00    0.00    0.00   65.91
08:59:38      15    7.78    0.00   17.78    0.00    0.00    4.44    0.00    0.00    0.00   70.00
08:59:38      16   10.42    0.00   17.71    0.00    0.00    3.12    0.00    0.00    0.00   68.75
08:59:38      17   10.99    0.00   15.38    0.00    0.00    1.10    0.00    0.00    0.00   72.53
08:59:38      18    9.57    0.00   14.89    0.00    0.00    3.19    0.00    0.00    0.00   72.34
08:59:38      19    4.21    0.00   23.16    0.00    0.00    2.11    0.00    0.00    0.00   70.53

08:59:38     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:39     all   14.43    0.00   21.99    0.00    0.00    6.51    0.00    0.00    0.00   57.06
08:59:39       0   12.37    0.00   14.43    0.00    0.00    7.22    0.00    0.00    0.00   65.98
08:59:39       1   10.75    0.00   17.20    0.00    0.00    6.45    0.00    0.00    0.00   65.59
08:59:39       2   12.24    0.00   20.41    0.00    0.00    4.08    0.00    0.00    0.00   63.27
08:59:39       3   18.00    0.00   52.00    0.00    0.00   30.00    0.00    0.00    0.00    0.00
08:59:39       4    9.78    0.00   15.22    0.00    0.00    2.17    0.00    0.00    0.00   72.83
08:59:39       5   18.37    0.00   28.57    0.00    0.00    9.18    0.00    0.00    0.00   43.88
08:59:39       6   23.71    0.00   27.84    0.00    0.00    7.22    0.00    0.00    0.00   41.24
08:59:39       7   23.00    0.00   23.00    0.00    0.00   11.00    0.00    0.00    0.00   43.00
08:59:39       8   15.79    0.00   29.47    0.00    0.00   10.53    0.00    0.00    0.00   44.21
08:59:39       9   18.75    0.00   31.25    0.00    0.00    7.29    0.00    0.00    0.00   42.71
08:59:39      10   13.40    0.00   21.65    0.00    0.00    3.09    0.00    0.00    0.00   61.86
08:59:39      11   13.68    0.00   16.84    0.00    0.00    4.21    0.00    0.00    0.00   65.26
08:59:39      12   10.87    0.00   18.48    0.00    0.00    4.35    0.00    0.00    0.00   66.30
08:59:39      13   16.67    0.00   18.63    0.00    0.00    3.92    0.00    0.00    0.00   60.78
08:59:39      14   19.39    0.00   18.37    0.00    0.00    3.06    0.00    0.00    0.00   59.18
08:59:39      15   10.64    0.00   19.15    0.00    0.00    4.26    0.00    0.00    0.00   65.96
08:59:39      16   10.75    0.00   16.13    0.00    0.00    1.08    0.00    0.00    0.00   72.04
08:59:39      17   11.34    0.00   15.46    0.00    0.00    3.09    0.00    0.00    0.00   70.10
08:59:39      18   10.00    0.00   16.67    0.00    0.00    1.11    0.00    0.00    0.00   72.22
08:59:39      19    7.37    0.00   16.84    0.00    0.00    5.26    0.00    0.00    0.00   70.53

08:59:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:40     all   14.99    0.00   22.10    0.21    0.00    6.59    0.00    0.00    0.00   56.12
08:59:40       0   13.83    0.00    9.57    3.19    0.00    2.13    0.00    0.00    0.00   71.28
08:59:40       1    9.18    0.00   13.27    1.02    0.00    3.06    0.00    0.00    0.00   73.47
08:59:40       2    8.33    0.00   14.58    0.00    0.00    1.04    0.00    0.00    0.00   76.04
08:59:40       3   15.15    0.00   52.53    0.00    0.00   32.32    0.00    0.00    0.00    0.00
08:59:40       4    9.09    0.00   14.14    0.00    0.00    2.02    0.00    0.00    0.00   74.75
08:59:40       5   21.05    0.00   29.47    0.00    0.00    9.47    0.00    0.00    0.00   40.00
08:59:40       6   18.75    0.00   30.21    0.00    0.00    9.38    0.00    0.00    0.00   41.67
08:59:40       7   19.79    0.00   28.12    0.00    0.00    9.38    0.00    0.00    0.00   42.71
08:59:40       8   21.88    0.00   28.12    0.00    0.00   11.46    0.00    0.00    0.00   38.54
08:59:40       9   20.83    0.00   28.12    0.00    0.00    9.38    0.00    0.00    0.00   41.67
08:59:40      10   16.49    0.00   19.59    0.00    0.00    1.03    0.00    0.00    0.00   62.89
08:59:40      11   15.84    0.00   21.78    0.00    0.00    0.99    0.00    0.00    0.00   61.39
08:59:40      12   19.59    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   62.89
08:59:40      13   17.89    0.00   14.74    0.00    0.00    2.11    0.00    0.00    0.00   65.26
08:59:40      14   17.31    0.00   23.08    0.00    0.00    2.88    0.00    0.00    0.00   56.73
08:59:40      15   12.77    0.00   20.21    0.00    0.00    8.51    0.00    0.00    0.00   58.51
08:59:40      16    8.70    0.00   16.30    0.00    0.00    7.61    0.00    0.00    0.00   67.39
08:59:40      17   10.64    0.00   20.21    0.00    0.00    4.26    0.00    0.00    0.00   64.89
08:59:40      18   12.77    0.00   18.09    0.00    0.00    7.45    0.00    0.00    0.00   61.70
08:59:40      19    9.47    0.00   21.05    0.00    0.00    7.37    0.00    0.00    0.00   62.11

08:59:40     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:59:41     all   14.59    0.00   21.39    0.00    0.00    7.11    0.00    0.00    0.00   56.90
08:59:41       0   12.87    0.00   16.83    0.00    0.00    1.98    0.00    0.00    0.00   68.32
08:59:41       1    9.28    0.00   14.43    0.00    0.00    2.06    0.00    0.00    0.00   74.23
08:59:41       2   11.34    0.00   12.37    0.00    0.00    2.06    0.00    0.00    0.00   74.23
08:59:41       3   12.87    0.00   53.47    0.00    0.00   33.66    0.00    0.00    0.00    0.00
08:59:41       4   10.42    0.00   14.58    0.00    0.00    1.04    0.00    0.00    0.00   73.96
08:59:41       5   19.79    0.00   22.92    0.00    0.00   10.42    0.00    0.00    0.00   46.88
08:59:41       6   14.29    0.00   29.59    0.00    0.00   11.22    0.00    0.00    0.00   44.90
08:59:41       7   16.49    0.00   27.84    0.00    0.00   11.34    0.00    0.00    0.00   44.33
08:59:41       8   20.83    0.00   25.00    0.00    0.00   10.42    0.00    0.00    0.00   43.75
08:59:41       9   17.02    0.00   23.40    0.00    0.00    9.57    0.00    0.00    0.00   50.00
08:59:41      10   15.05    0.00   15.05    0.00    0.00    1.08    0.00    0.00    0.00   68.82
08:59:41      11   18.37    0.00   16.33    0.00    0.00    1.02    0.00    0.00    0.00   64.29
08:59:41      12   12.90    0.00   17.20    0.00    0.00    1.08    0.00    0.00    0.00   68.82
08:59:41      13   17.20    0.00   13.98    0.00    0.00    0.00    0.00    0.00    0.00   68.82
