Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

09:05:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:55     all    7.54    0.00   11.21    0.46    0.00    4.49    0.00    0.00    0.00   76.29
09:05:55       0    9.18    0.00   12.24    0.00    0.00    2.04    0.00    0.00    0.00   76.53
09:05:55       1    9.57    0.00   12.77    0.00    0.00    3.19    0.00    0.00    0.00   74.47
09:05:55       2    8.33    0.00    9.38    0.00    0.00    5.21    0.00    0.00    0.00   77.08
09:05:55       3    6.32    0.00   11.58    0.00    0.00    3.16    0.00    0.00    0.00   78.95
09:05:55       4    8.25    0.00   11.34    0.00    0.00    3.09    0.00    0.00    0.00   77.32
09:05:55       5    3.16    0.00    5.26    0.00    0.00    1.05    0.00    0.00    0.00   90.53
09:05:55       6    0.00    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   97.96
09:05:55       7   29.00    0.00   55.00    0.00    0.00   16.00    0.00    0.00    0.00    0.00
09:05:55       8    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:05:55       9    2.00    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   94.00
09:05:55      10    6.25    0.00    7.29    0.00    0.00    2.08    0.00    0.00    0.00   84.38
09:05:55      11    5.10    0.00    7.14    2.04    0.00    4.08    0.00    0.00    0.00   81.63
09:05:55      12    4.17    0.00    6.25    0.00    0.00    2.08    0.00    0.00    0.00   87.50
09:05:55      13    1.00    0.00    2.00    3.00    0.00    1.00    0.00    0.00    0.00   93.00
09:05:55      14    7.29    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   87.50
09:05:55      15    8.42    0.00    6.32    0.00    0.00    2.11    0.00    0.00    0.00   83.16
09:05:55      16    5.43    0.00   10.87    0.00    0.00    3.26    0.00    0.00    0.00   80.43
09:05:55      17    9.18    0.00   18.37    0.00    0.00   15.31    0.00    0.00    0.00   57.14
09:05:55      18   18.48    0.00   27.17    0.00    0.00   21.74    0.00    0.00    0.00   32.61
09:05:55      19    7.92    0.00   13.86    0.00    0.00    4.95    0.00    0.00    0.00   73.27

09:05:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:56     all    8.08    0.00   11.74    0.00    0.00    3.96    0.00    0.00    0.00   76.21
09:05:56       0    6.25    0.00   11.46    0.00    0.00    3.12    0.00    0.00    0.00   79.17
09:05:56       1    8.60    0.00    7.53    0.00    0.00    4.30    0.00    0.00    0.00   79.57
09:05:56       2    8.51    0.00    6.38    0.00    0.00    1.06    0.00    0.00    0.00   84.04
09:05:56       3    8.33    0.00    5.21    0.00    0.00    3.12    0.00    0.00    0.00   83.33
09:05:56       4    6.25    0.00    9.38    0.00    0.00    2.08    0.00    0.00    0.00   82.29
09:05:56       5    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
09:05:56       6    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
09:05:56       7   25.00    0.00   59.00    0.00    0.00   16.00    0.00    0.00    0.00    0.00
09:05:56       8    1.98    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   93.07
09:05:56       9    1.02    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   94.90
09:05:56      10    6.06    0.00   15.15    0.00    0.00    5.05    0.00    0.00    0.00   73.74
09:05:56      11    8.42    0.00    8.42    0.00    0.00    2.11    0.00    0.00    0.00   81.05
09:05:56      12    7.45    0.00   11.70    0.00    0.00    2.13    0.00    0.00    0.00   78.72
09:05:56      13    5.10    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   86.73
09:05:56      14    7.14    0.00   10.20    0.00    0.00    1.02    0.00    0.00    0.00   81.63
09:05:56      15    5.26    0.00   11.58    0.00    0.00    4.21    0.00    0.00    0.00   78.95
09:05:56      16    7.00    0.00    8.00    0.00    0.00    1.00    0.00    0.00    0.00   84.00
09:05:56      17   21.88    0.00   31.25    0.00    0.00   20.83    0.00    0.00    0.00   26.04
09:05:56      18   10.10    0.00   11.11    0.00    0.00    8.08    0.00    0.00    0.00   70.71
09:05:56      19   13.54    0.00    9.38    0.00    0.00    2.08    0.00    0.00    0.00   75.00

09:05:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:05:57     all    7.96    0.00   12.29    0.15    0.00    4.08    0.00    0.00    0.00   75.52
09:05:57       0   11.22    0.00   13.27    0.00    0.00    3.06    0.00    0.00    0.00   72.45
09:05:57       1    8.25    0.00   16.49    0.00    0.00    2.06    0.00    0.00    0.00   73.20
09:05:57       2   10.10    0.00   15.15    0.00    0.00    3.03    0.00    0.00    0.00   71.72
09:05:57       3    9.18    0.00   14.29    0.00    0.00    2.04    0.00    0.00    0.00   74.49
09:05:57       4    6.93    0.00   15.84    0.00    0.00    1.98    0.00    0.00    0.00   75.25
09:05:57       5    1.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
09:05:57       6    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:05:57       7   13.86    0.00   41.58    0.00    0.00    9.90    0.00    0.00    0.00   34.65
09:05:57       8    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
09:05:57       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:05:57      10   18.18    0.00   20.20    0.00    0.00    6.06    0.00    0.00    0.00   55.56
09:05:57      11    6.19    0.00   10.31    0.00    0.00    2.06    0.00    0.00    0.00   81.44
09:05:57      12    7.29    0.00    7.29    0.00    0.00    1.04    0.00    0.00    0.00   84.38
09:05:57      13    8.16    0.00   10.20    0.00    0.00    3.06    0.00    0.00    0.00   78.57
