Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

15:13:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:13:53     all    1.45    0.00    1.55    8.55    0.00    0.10    0.00    0.00    0.00   88.34
15:13:53       0    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
15:13:53       1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:13:53       2    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:13:53       3    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
15:13:53       4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:13:53       5    0.00    0.00    1.00   20.00    0.00    0.00    0.00    0.00    0.00   79.00
15:13:53       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:13:53       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
15:13:53       8    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
15:13:53       9    2.00    0.00    1.00   10.00    0.00    0.00    0.00    0.00    0.00   87.00
15:13:53      10    2.04    0.00    1.02    4.08    0.00    0.00    0.00    0.00    0.00   92.86
15:13:53      11    1.00    0.00    1.00   40.00    0.00    0.00    0.00    0.00    0.00   58.00
15:13:53      12    1.01    0.00    2.02    6.06    0.00    0.00    0.00    0.00    0.00   90.91
15:13:53      13    0.00    0.00    0.98   26.47    0.00    0.98    0.00    0.00    0.00   71.57
15:13:53      14    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
15:13:53      15   15.15    0.00   17.17   59.60    0.00    0.00    0.00    0.00    0.00    8.08
15:13:53      16    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
15:13:53      17    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
15:13:53      18    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
15:13:53      19    2.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   94.00

15:13:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:13:54     all    1.16    0.00    0.60   16.41    0.00    0.10    0.00    0.00    0.00   81.73
15:13:54       0    1.94    0.00    1.94    0.00    0.00    1.94    0.00    0.00    0.00   94.17
15:13:54       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:13:54       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:13:54       3    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
