Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

09:32:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:16     all   40.90    0.00    0.20    0.00    0.00    0.05    0.00    0.00    0.00   58.84
09:32:16       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16       2    1.01    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   97.98
09:32:16       3    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:32:16       4    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:16       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16       7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:16       8    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:32:16       9    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:32:16      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16      12    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
09:32:16      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:16      14    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:16      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:16      17    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:16      18    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
09:32:16      19    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98

09:32:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:17     all   41.01    0.00    0.55    0.15    0.00    0.00    0.00    0.00    0.00   58.29
09:32:17       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17       2    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:32:17       3    2.02    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   94.95
09:32:17       4    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:17       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17       7    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
09:32:17       8    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:17       9    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
09:32:17      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17      12    3.92    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   95.10
09:32:17      13    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:32:17      14    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:17      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:17      17    2.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00
09:32:17      18    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
09:32:17      19    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00

09:32:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:18     all   40.41    0.00    0.35    0.05    0.00    0.05    0.00    0.00    0.00   59.14
09:32:18       0   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18       2    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
09:32:18       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:18       4    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:32:18       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18       7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:18       8    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:18       9    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:18      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:18      13    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
09:32:18      14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:18      15   98.98    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:18      17    2.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   96.00
09:32:18      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:18      19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

09:32:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:19     all   40.51    0.00    0.10    0.75    0.00    0.00    0.00    0.00    0.00   58.64
09:32:19       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19       2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:19       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:19       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:19       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19       7    0.99    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00   94.06
09:32:19       8    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:19       9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:19      10   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19      12    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
09:32:19      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:19      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:19      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19      16  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:19      17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:19      18    0.00    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.97
09:32:19      19    0.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   92.00

09:32:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:32:20     all   40.37    0.00    0.30    0.10    0.00    0.10    0.00    0.00    0.00   59.13
09:32:20       0  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20       1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20       2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
09:32:20       3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:20       4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:20       5  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:20       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:32:20       9    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
09:32:20      10  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20      11  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20      12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:20      13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:32:20      14    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:32:20      15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09:32:20      16   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
