Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

09:02:28     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:02:29     all   19.14    0.00   16.28    0.21    0.00    6.60    0.00    0.00    0.00   57.77
09:02:29       0   18.75    0.00   16.67    0.00    0.00    6.25    0.00    0.00    0.00   58.33
09:02:29       1   17.89    0.00   16.84    0.00    0.00    5.26    0.00    0.00    0.00   60.00
09:02:29       2   18.75    0.00   12.50    0.00    0.00    5.21    0.00    0.00    0.00   63.54
09:02:29       3   12.90    0.00   17.20    0.00    0.00    7.53    0.00    0.00    0.00   62.37
09:02:29       4   12.63    0.00   17.89    0.00    0.00    6.32    0.00    0.00    0.00   63.16
09:02:29       5   14.29    0.00   12.24    4.08    0.00    7.14    0.00    0.00    0.00   62.24
09:02:29       6   12.09    0.00   12.09    0.00    0.00    3.30    0.00    0.00    0.00   72.53
09:02:29       7   35.79    0.00    7.37    0.00    0.00    4.21    0.00    0.00    0.00   52.63
09:02:29       8   15.62    0.00   11.46    0.00    0.00    4.17    0.00    0.00    0.00   68.75
09:02:29       9   26.09    0.00   11.96    0.00    0.00    4.35    0.00    0.00    0.00   57.61
09:02:29      10   13.40    0.00   15.46    0.00    0.00   10.31    0.00    0.00    0.00   60.82
09:02:29      11   19.42    0.00   18.45    0.00    0.00    3.88    0.00    0.00    0.00   58.25
09:02:29      12   16.49    0.00   16.49    0.00    0.00    7.22    0.00    0.00    0.00   59.79
09:02:29      13   22.45    0.00   15.31    0.00    0.00    6.12    0.00    0.00    0.00   56.12
09:02:29      14   34.74    0.00   11.58    0.00    0.00    3.16    0.00    0.00    0.00   50.53
09:02:29      15   23.00    0.00   31.00    0.00    0.00   17.00    0.00    0.00    0.00   29.00
09:02:29      16   18.37    0.00   15.31    0.00    0.00    7.14    0.00    0.00    0.00   59.18
09:02:29      17   18.75    0.00   17.71    0.00    0.00    5.21    0.00    0.00    0.00   58.33
09:02:29      18   12.77    0.00   15.96    0.00    0.00    3.19    0.00    0.00    0.00   68.09
09:02:29      19   18.37    0.00   30.61    0.00    0.00   14.29    0.00    0.00    0.00   36.73

09:02:29     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:02:30     all   11.42    0.00   15.36    0.41    0.00    5.84    0.00    0.00    0.00   66.97
09:02:30       0   12.24    0.00   19.39    0.00    0.00    6.12    0.00    0.00    0.00   62.24
09:02:30       1   12.09    0.00    9.89    0.00    0.00    3.30    0.00    0.00    0.00   74.73
09:02:30       2   17.00    0.00   17.00    0.00    0.00    6.00    0.00    0.00    0.00   60.00
09:02:30       3   17.17    0.00   18.18    0.00    0.00    2.02    0.00    0.00    0.00   62.63
09:02:30       4   12.12    0.00   19.19    0.00    0.00    6.06    0.00    0.00    0.00   62.63
09:02:30       5    9.00    0.00    7.00    1.00    0.00    4.00    0.00    0.00    0.00   79.00
