anomality,sys_enter_llistxattr,sys_enter_setgroups,sys_enter_lremovexattr,sys_enter_sethostname,sys_enter_accept,sys_enter_lseek,sys_enter_setitimer,sys_enter_accept4,sys_enter_lsetxattr,sys_enter_setns,sys_enter_acct,sys_enter_madvise,sys_enter_setpgid,sys_enter_add_key,sys_enter_mbind,sys_enter_setpriority,sys_enter_adjtimex,sys_enter_membarrier,sys_enter_setregid,sys_enter_arm64_personality,sys_enter_memfd_create,sys_enter_setresgid,sys_enter_bind,sys_enter_memfd_secret,sys_enter_setresuid,sys_enter_bpf,sys_enter_migrate_pages,sys_enter_setreuid,sys_enter_brk,sys_enter_mincore,sys_enter_setrlimit,sys_enter_capget,sys_enter_mkdirat,sys_enter_setsid,sys_enter_capset,sys_enter_mknodat,sys_enter_setsockopt,sys_enter_chdir,sys_enter_mlock,sys_enter_settimeofday,sys_enter_chroot,sys_enter_mlock2,sys_enter_setuid,sys_enter_clock_adjtime,sys_enter_mlockall,sys_enter_setxattr,sys_enter_clock_getres,sys_enter_mmap,sys_enter_shmat,sys_enter_clock_gettime,sys_enter_mount,sys_enter_shmctl,sys_enter_clock_nanosleep,sys_enter_mount_setattr,sys_enter_shmdt,sys_enter_clock_settime,sys_enter_move_mount,sys_enter_shmget,sys_enter_clone,sys_enter_move_pages,sys_enter_shutdown,sys_enter_clone3,sys_enter_mprotect,sys_enter_sigaltstack,sys_enter_close,sys_enter_mq_getsetattr,sys_enter_signalfd4,sys_enter_close_range,sys_enter_mq_notify,sys_enter_socket,sys_enter_connect,sys_enter_mq_open,sys_enter_socketpair,sys_enter_copy_file_range,sys_enter_mq_timedreceive,sys_enter_splice,sys_enter_delete_module,sys_enter_mq_timedsend,sys_enter_statfs,sys_enter_dup,sys_enter_mq_unlink,sys_enter_statx,sys_enter_dup3,sys_enter_mremap,sys_enter_swapoff,sys_enter_epoll_create1,sys_enter_msgctl,sys_enter_swapon,sys_enter_epoll_ctl,sys_enter_msgget,sys_enter_symlinkat,sys_enter_epoll_pwait,sys_enter_msgrcv,sys_enter_sync,sys_enter_epoll_pwait2,sys_enter_msgsnd,sys_enter_sync_file_range,sys_enter_eventfd2,sys_enter_msync,sys_enter_syncfs,sys_enter_execve,sys_enter_munlock,sys_enter_sysinfo,sys_enter_execveat,sys_enter_munlockall,sys_enter_syslog,sys_enter_exit,sys_enter_munmap,sys_enter_tee,sys_enter_exit_group,sys_enter_name_to_handle_at,sys_enter_tgkill,sys_enter_faccessat,sys_enter_nanosleep,sys_enter_timer_create,sys_enter_faccessat2,sys_enter_newfstat,sys_enter_timer_delete,sys_enter_fadvise64_64,sys_enter_newfstatat,sys_enter_timer_getoverrun,sys_enter_fallocate,sys_enter_newuname,sys_enter_timer_gettime,sys_enter_fanotify_init,sys_enter_open_by_handle_at,sys_enter_timer_settime,sys_enter_fanotify_mark,sys_enter_open_tree,sys_enter_timerfd_create,sys_enter_fchdir,sys_enter_openat,sys_enter_timerfd_gettime,sys_enter_fchmod,sys_enter_openat2,sys_enter_timerfd_settime,sys_enter_fchmodat,sys_enter_perf_event_open,sys_enter_times,sys_enter_fchown,sys_enter_pidfd_getfd,sys_enter_tkill,sys_enter_fchownat,sys_enter_pidfd_open,sys_enter_truncate,sys_enter_fcntl,sys_enter_pidfd_send_signal,sys_enter_umask,sys_enter_fdatasync,sys_enter_pipe2,sys_enter_umount,sys_enter_fgetxattr,sys_enter_pivot_root,sys_enter_unlinkat,sys_enter_finit_module,sys_enter_ppoll,sys_enter_unshare,sys_enter_flistxattr,sys_enter_prctl,sys_enter_userfaultfd,sys_enter_flock,sys_enter_pread64,sys_enter_utimensat,sys_enter_fremovexattr,sys_enter_preadv,sys_enter_vhangup,sys_enter_fsconfig,sys_enter_preadv2,sys_enter_vmsplice,sys_enter_fsetxattr,sys_enter_prlimit64,sys_enter_wait4,sys_enter_fsmount,sys_enter_process_madvise,sys_enter_waitid,sys_enter_fsopen,sys_enter_process_mrelease,sys_enter_write,sys_enter_fspick,sys_enter_process_vm_readv,sys_enter_writev,sys_enter_fstatfs,sys_enter_process_vm_writev,sys_enter_fsync,sys_enter_pselect6,sys_enter_ftruncate,sys_enter_ptrace,sys_enter_futex,sys_enter_pwrite64,sys_enter_get_mempolicy,sys_enter_pwritev,sys_enter_get_robust_list,sys_enter_pwritev2,sys_enter_getcpu,sys_enter_quotactl,sys_enter_getcwd,sys_enter_quotactl_fd,sys_enter_getdents64,sys_enter_read,sys_enter_getegid,sys_enter_readahead,sys_enter_geteuid,sys_enter_readlinkat,sys_enter_getgid,sys_enter_readv,sys_enter_getgroups,sys_enter_reboot,sys_enter_getitimer,sys_enter_recvfrom,sys_enter_getpeername,sys_enter_recvmmsg,sys_enter_getpgid,sys_enter_recvmsg,sys_enter_getpid,sys_enter_remap_file_pages,sys_enter_getppid,sys_enter_removexattr,sys_enter_getpriority,sys_enter_renameat,sys_enter_getrandom,sys_enter_renameat2,sys_enter_getresgid,sys_enter_request_key,sys_enter_getresuid,sys_enter_restart_syscall,sys_enter_getrlimit,sys_enter_rseq,sys_enter_getrusage,sys_enter_rt_sigaction,sys_enter_getsid,sys_enter_rt_sigpending,sys_enter_getsockname,sys_enter_rt_sigprocmask,sys_enter_getsockopt,sys_enter_rt_sigqueueinfo,sys_enter_gettid,sys_enter_rt_sigreturn,sys_enter_gettimeofday,sys_enter_rt_sigsuspend,sys_enter_getuid,sys_enter_rt_sigtimedwait,sys_enter_getxattr,sys_enter_rt_tgsigqueueinfo,sys_enter_init_module,sys_enter_sched_get_priority_max,sys_enter_inotify_add_watch,sys_enter_sched_get_priority_min,sys_enter_inotify_init1,sys_enter_sched_getaffinity,sys_enter_inotify_rm_watch,sys_enter_sched_getattr,sys_enter_io_cancel,sys_enter_sched_getparam,sys_enter_io_destroy,sys_enter_sched_getscheduler,sys_enter_io_getevents,sys_enter_sched_rr_get_interval,sys_enter_io_pgetevents,sys_enter_sched_setaffinity,sys_enter_io_setup,sys_enter_sched_setattr,sys_enter_io_submit,sys_enter_sched_setparam,sys_enter_io_uring_enter,sys_enter_sched_setscheduler,sys_enter_io_uring_register,sys_enter_sched_yield,sys_enter_io_uring_setup,sys_enter_seccomp,sys_enter_ioctl,sys_enter_semctl,sys_enter_ioprio_get,sys_enter_semget,sys_enter_ioprio_set,sys_enter_semop,sys_enter_kcmp,sys_enter_semtimedop,sys_enter_kexec_file_load,sys_enter_sendfile64,sys_enter_kexec_load,sys_enter_sendmmsg,sys_enter_keyctl,sys_enter_sendmsg,sys_enter_kill,sys_enter_sendto,sys_enter_landlock_add_rule,sys_enter_set_mempolicy,sys_enter_landlock_create_ruleset,sys_enter_set_robust_list,sys_enter_landlock_restrict_self,sys_enter_set_tid_address,sys_enter_lgetxattr,sys_enter_setdomainname,sys_enter_linkat,sys_enter_setfsgid,sys_enter_listen,sys_enter_setfsuid,sys_enter_listxattr,sys_enter_setgid
1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,4757,0,0,0,0,0,6,0,0,0,87,0,64,0,0,0,0,5,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4559,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,78,0,0,0,1,4,908,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,216586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,139288,0,0,8723,0,0,0,9,0,0,2796,0,0,0,0,0,0,0,0,0,2,156261,2,0,2,0,2,0,0,0,0,6,1,0,0,0,74591,0,0,0,0,0,3,0,0,0,0,0,0,6,0,254448,0,0,1,337345,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,4,0,0,0,0,0,8,0,0,0,49,0,62,0,0,0,0,5,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4671,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,42,0,3,0,2,6,915,0,0,0,0,0,69,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,172792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,142210,0,0,8564,0,0,0,9,0,0,2843,0,0,0,0,0,0,0,0,0,2,160329,4,0,5,0,4,0,0,0,0,8,0,0,1,0,75208,0,4,0,0,0,6,0,0,0,0,0,0,7,0,268435,0,0,0,344093,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,10,0,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,359,0,0,0,0,0,14,0,0,0,73,0,148,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,14,0,0,5083,0,0,0,0,0,3,0,0,1,0,1,0,0,0,4,66,0,0,0,0,1,912,0,9,0,0,0,67,0,0,2,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,101211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,75101,0,0,5380,0,0,0,0,0,0,3078,0,0,0,0,0,0,0,0,0,10,85777,0,0,0,3,0,0,0,0,0,1,0,0,0,5,37179,0,0,0,0,0,1,0,0,0,0,0,0,10,0,150771,0,0,1,189767,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9080,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,11,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,4,0,0,0,0,0,13,0,0,0,46,0,126,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,15,0,0,5020,0,0,0,0,0,3,0,0,1,0,1,0,0,0,3,34,0,0,0,5,1,927,0,9,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,96378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,70532,0,0,5253,0,0,0,0,0,0,3128,0,0,0,0,0,0,0,0,0,10,80852,0,0,0,3,0,0,0,0,0,1,0,0,0,5,34283,0,0,0,0,0,1,0,0,0,0,0,0,13,0,144092,0,0,1,179240,1,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11892,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,14,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,4,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,12,0,0,0,103,0,2417,0,0,0,0,2,2,0,0,0,0,0,0,0,4,1,0,10,2,0,0,0,0,0,0,0,0,4506,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,234,0,8,0,2,52,889,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,2709,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,160850,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,142761,0,0,27687,0,0,0,141,0,0,14524,0,0,0,0,0,0,0,6,0,428,191108,12,0,17,2,12,0,0,0,0,0,0,0,86,0,76519,0,0,0,0,0,9,0,0,0,0,0,0,10,0,263755,0,0,0,320591,0,0,0,18,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141372,0,0,8550,0,0,0,0,0,0,2635,0,0,0,0,0,0,0,0,0,0,159308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264078,0,0,0,330082,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,8583,0,0,0,0,0,1,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4363,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,1,3,874,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,195077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,138294,0,0,8460,0,0,0,0,0,0,2677,0,0,0,0,0,0,0,0,0,0,155056,2,0,2,0,2,0,0,0,0,0,0,0,0,0,72652,0,0,0,0,0,1,0,0,0,0,0,0,1,0,259024,0,0,0,319362,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,3,3,872,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,162903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,139897,0,0,8546,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,0,0,0,157975,2,0,2,0,2,0,0,0,0,0,0,0,0,0,73303,0,0,0,0,0,1,0,0,0,0,0,0,1,0,267521,0,0,0,324873,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,7039,0,0,0,0,0,228,0,0,0,242,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4381,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,6,3,910,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,147506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,121502,0,0,7271,0,0,0,0,0,0,4444,0,0,0,0,0,0,0,0,0,0,133352,2,0,2,0,2,0,0,0,0,0,0,0,0,0,64323,0,0,0,0,0,3,0,0,0,0,0,0,212,0,231151,0,0,0,263312,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,3,3,885,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,141235,0,0,8633,0,0,0,0,0,0,2725,0,0,0,0,0,0,0,0,0,0,159318,2,0,2,0,2,0,0,0,0,0,0,0,0,0,74845,0,0,0,0,0,4,0,0,0,0,0,0,1,0,265683,0,0,0,329691,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
